time,mnvel,errvel,tel,SVAL
17797.061703999992,-20.369859484341617,3.550924,a,0.117240940416
17866.79524799995,-21.481297543639712,3.9118955,a,0.127875410509
17866.826555999927,-13.786252425579528,4.396426,a,0.11990994487
17871.779211000074,-1.8632856031897234,3.858687,a,0.126877025649
17872.738551000133,-6.002217140368344,3.5210428,a,0.119900925158
17875.762285999954,-9.986176110059311,3.945524,a,0.124491879255
17900.783958999906,-8.545778500038775,3.6558223,a,0.127841504328
17988.7254420002,-4.771981114749849,1.3481159,j,0.16009999811649323
17993.739204000216,0.5956827527991493,1.4558055,j,0.15700000524520874
17999.730061999988,-5.0835828946236745,1.3396145,j,0.1624000072479248
18000.720592000056,1.0264268075145822,1.670856,j,0.1597999930381775
18002.716376000084,-3.863622827217455,1.391078,j,0.1573999971151352
18092.16021599993,15.025857335846972,1.6821162,j,0.16089999675750732
18114.157043000218,14.066106696072332,1.5146248,j,0.16269999742507935
18117.97227199981,23.74334014114143,2.6191382,a,0.133908138228
18125.147446999792,11.549921180031621,1.6921135,j,0.16249999403953552
18130.06051500002,23.970818262875895,2.7783377,a,0.124942108846
18131.102977000177,25.821291013263362,2.6690333,a,0.127896246502
18141.153160999995,15.410436703033632,1.5135676,j,0.1623000055551529
18150.11941900011,17.591568077018078,1.4524381,j,0.16429999470710754
18150.912616000045,27.282817508668472,3.0623217,a,0.126072756558
18151.092575000133,18.447105637499646,1.6140007,j,0.163100004196167
18152.99774699984,23.43394886754487,2.9008799,a,0.124687999066
18153.022495000158,21.95305023751098,2.73019,a,0.126575354711
18156.898035999853,18.427123190758067,2.935921,a,0.128880218103
18160.004749999847,18.085772308643612,2.865462,a,0.126671616789
18160.920985000208,24.654301094905577,2.881687,a,0.128566530307
18161.13130400004,15.550599288828659,1.558123,j,0.16249999403953552
18162.91145200003,13.734784783881196,2.90667,a,0.13051513044500002
18165.8704309999,17.368676950754036,2.8577712,a,0.132580313123
18165.978356000036,13.442390449943787,2.602149,a,0.126878475288
18166.971977000125,24.113815341078833,2.894394,a,0.129338664636
18194.990383000113,20.171504473727715,1.6525241,j,0.16349999606609344
18196.85652599996,14.869979309007299,2.7581327,a,0.12738002465
18199.889568999875,12.260742686379047,2.1878648,j,0.16459999978542328
18199.934803000186,14.014516038863789,1.7879916,j,0.16249999403953552
18199.940438999794,16.878854191937407,1.5800551,j,0.16369999945163727
18199.94127300009,14.640515193112144,1.7008251,j,0.16189999878406525
18204.79290900007,25.28663579319494,2.8451707,a,0.122731844322
18207.799825999886,18.032856694403844,2.660408,a,0.127587168317
18222.714310000185,13.988963344954746,2.484166,a,
18230.74340499984,18.12393666184797,2.6296258,a,0.129544193317
18233.779385,19.12984462521123,2.7445953,a,0.126339782942
18240.776552999858,25.310788313865057,3.6489863,a,0.12433789174399999
18241.771151999943,18.248531187877305,2.6038332,a,0.123441846371
18244.786144000012,13.923931594309806,2.7887547,a,0.12942505772600002
18247.772545999847,16.33224951860726,2.880554,a,0.124445282395
18247.992213999853,16.742723444441737,2.35589,j,0.16130000352859497
18247.994551000185,11.010846340829318,2.1337807,j,0.16290000081062317
18248.781082000118,13.739500705209466,3.0761359,a,0.127927395077
18250.74627499981,19.61346213182287,2.8605607,a,0.12630547763
18253.762651000172,18.852085666167184,2.7358625,a,0.128956274045
18256.71420300007,19.713943203065035,2.9173055,a,0.12336958254699999
18256.73822900001,15.236675119989986,2.7775638,a,0.127709422099
18260.71715300018,23.20328285551662,3.2708952,a,0.12856978647700001
18261.72173599992,13.26486849286654,2.7448266,a,0.124933348377
18262.96864099987,11.586614490925058,1.744907,j,0.16329999268054962
18266.969060000032,13.493762800113444,1.7270207,j,0.1632000058889389
18267.749299000017,17.43194863785114,2.7867684,a,0.124029947927
18273.69106299989,18.7482340307992,2.7376904,a,0.124360030355
18275.74160700012,21.20688137980375,2.4715383,a,0.12708589419299998
18279.74422900006,20.45099340383161,3.4585767,a,0.133299478545
18280.74989099987,15.045714660142938,2.9666057,a,0.12849157261
18284.743480999954,11.47563405686276,1.3168633,j,0.1599999964237213
18285.693264000118,12.544817825660406,2.6426098,a,0.126426908051
18286.71868700022,22.680235688193523,2.7730482,a,0.127680229412
18288.689933000132,13.516316335272904,2.8692603,a,0.128490786045
18289.6972889998,17.510748871890108,2.7408462,a,0.123106342708
18294.69912200002,13.251638155650191,3.050574,a,0.130583759872
18294.750031000003,14.369134655265867,1.3579853,j,0.16269999742507935
18295.80589800002,13.996972485371629,1.2470388,j,0.16210000216960907
18298.814968000166,12.964296472458727,1.5821865,j,0.16380000114440918
18299.72502399981,15.38816622919694,2.75241,a,0.126381675414
18299.743009000085,7.785874206867163,1.5237726,j,0.16419999301433563
18300.74205,6.8000498699260845,1.3865607,j,0.16189999878406525
18301.786363999825,9.299808913936118,1.520839,j,0.1623000055551529
18303.81182599999,8.334281523515841,1.5435902,j,0.16269999742507935
18304.693700999953,17.913738702153307,2.6451676,a,0.131334175964
18305.76074300008,15.225282160592997,1.4256959,j,0.16339999437332153
18307.692391999997,16.039932620348406,2.8741853,a,0.12275030511700001
18307.848025999963,8.156943008488724,1.6195705,j,0.16220000386238098
18308.735187999904,13.27435266054377,3.0157733,a,0.12395011662799998
18308.83322300017,11.37701016285368,1.5659914,j,0.16279999911785126
18311.691496999934,12.632862942103433,2.8836143,a,0.125561227176
18313.70932900021,13.174229463747338,2.9291196,a,0.12434329968499999
18314.72869999986,18.68572378779278,2.7455087,a,0.124663702884
18320.710384999868,17.62894805847128,3.1045613,a,0.128090260715
18321.704355000053,16.447486754278174,2.8967803,a,0.126910952129
18329.682843999937,13.761383667538091,3.2246122,a,0.12289347863
18336.73981900001,9.917889491246711,1.5986648,j,0.16279999911785126
18337.730334000196,7.18453940008726,1.5619339,j,0.16269999742507935
18342.659138000105,10.151426032021753,3.580327,a,0.12489059730900001
18344.726501000114,18.734675082703916,1.6759677,j,0.1615999937057495
18350.732319000177,16.506729157604013,1.6966354,j,0.1623000055551529
18364.717035000212,1.1511464074121136,1.7886096,j,0.16179999709129333
18480.992165999953,17.82354830908082,3.2200902,a,0.122512835094
18488.007887999993,2.056093376075637,2.7406318,a,0.127536081213
18491.16988199996,2.5533141111483113,1.6010977,j,0.163100004196167
18508.913931000046,8.091781581325563,3.1016736,a,0.128465584246
18509.092860000208,-5.5270352503980344,1.4616342,j,0.16300000250339508
18533.106015000027,-5.970253447333068,1.6253752,j,0.16269999742507935
18557.735964000225,6.602516847932378,4.2745123,a,0.14244121265999998
18560.05053600017,-3.7710684368199736,1.7209823,j,0.16429999470710754
18561.791269000154,9.441701578426354,3.8405452,a,0.128292572729
18561.849744000006,-5.26821780437507,2.8773766,a,0.125336166979
18567.051601999905,-12.153041994572618,1.5959929,j,0.16249999403953552
18569.921215000097,1.7476464608377213,1.5935191,j,0.16249999403953552
18574.886706000194,-6.843689533275349,2.744242,a,0.12664635135
18586.731010999996,-1.2045723677412434,2.8845103,a,0.124869893217
18587.721276999917,7.22808417719651,3.3759863,a,0.126992357221
18601.751180000138,-5.290772755031691,2.7417927,a,0.149433604715
18605.737672000192,-0.20753132933208462,2.8925824,a,0.12186799065300001
18606.7448760001,-3.759544372822795,2.5270388,a,0.126973683752
18607.77318800008,-7.773037666584031,2.5376642,a,0.121963958112
18610.925706000067,-10.051428917073395,1.5506963,j,0.16249999403953552
18611.721590000205,-7.357029433196544,3.1544394,a,0.122534782939
18615.758959,-15.307488510902203,1.9027296,j,0.164000004529953
18621.68890500022,-5.929899514220114,4.0539527,a,0.11607146595699999
18623.878938000184,-10.472916863493765,1.2379695,j,0.16210000216960907
18628.824587999843,-6.633259443731504,1.3288609,j,0.16130000352859497
18632.735080000013,-7.273968566336521,1.3246447,j,0.1606999933719635
